sort,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
46,Canisius,Golden Griffins,Buffalo,NY,1982,2023,38,1078,457,621,0.424,-13.68,-5.31,0,0,1,1,0,0
47,Centenary (LA),Gents,Shreveport,LA,2000,2011,12,333,41,292,0.123,-32.49,-7.43,0,0,0,,,
48,Central Arkansas,Bears,Conway,AR,2007,2023,17,508,277,231,0.545,-8.51,-8.4,0,2,2,2,0,0
49,Central Connecticut State,Blue Devils,New Britain,CT,1987,2023,37,1032,369,663,0.358,-15.29,-9.75,0,1,0,0,0,0
50,Central Florida,Knights,Orlando,FL,1985,2023,39,1127,534,593,0.474,4.17,3.39,1,5,5,7,0,0
51,Central Michigan,Chippewas,Mount Pleasant,MI,1982,2023,42,1235,610,625,0.494,4.75,2.21,0,8,5,6,0,0
52,Charleston Southern,Buccaneers,Charleston,SC,1985,2023,39,1089,325,756,0.301,-19.03,-10.05,0,0,0,0,0,0
53,Charlotte,49ers,Charlotte,NC,1983,2023,41,1205,675,530,0.56,3.72,2.85,0,4,3,3,0,0
54,Chattanooga,Mocs,Chattanooga,TN,1983,2023,41,1230,792,438,0.644,-4.57,-4.89,2,22,18,15,0,0
55,Cheyney,Empty,Cheyney,PA,1982,1988,7,201,114,87,0.567,,,3,0,0,2,2,
56,Chicago,Maroons,Chicago,IL,1987,2023,37,1032,226,806,0.219,-22.47,-5.53,0,1,1,0,0,0
57,Cincinnati,Bearcats,Cincinnati,OH,1982,2023,42,1238,610,628,0.493,3.41,6.69,1,1,1,4,0,0
58,Clemson,Tigers,Clemson,SC,1982,2023,42,1273,648,625,0.509,4.57,10.21,7,0,2,16,0,0
59,Cleveland State,Vikings,Cleveland,OH,1983,2023,41,1190,520,670,0.437,-3.47,-1.25,0,0,2,2,0,0
60,Coastal Carolina,Chanticleers,Conway,SC,1987,2023,37,1040,466,574,0.448,-11.45,-8.1,0,1,0,0,0,0
61,Colgate,Raiders,Hamilton,NY,1982,2023,38,1077,364,713,0.338,-12.07,-4.77,0,1,1,1,0,0
62,College of Charleston,Cougars,Charleston,SC,1992,2023,32,918,356,562,0.388,-9.25,-3.52,0,0,0,0,0,0
63,Colorado,Buffaloes,Boulder,CO,1983,2023,41,1257,735,522,0.585,12,10.01,11,4,6,14,0,0
64,Colorado College,Tigers,Colorado Springs,CO,1983,2023,41,1219,665,554,0.546,4.3,0.88,3,9,3,6,0,0
65,Columbia,Lions,New York,NY,1987,2023,36,972,340,632,0.35,-6.93,-3.41,0,0,0,0,0,0
66,Connecticut,Huskies,Storrs,CT,1982,2023,42,1441,1212,229,0.841,35.11,9.21,30,29,26,33,22,11
67,Coppin State,Eagles,Baltimore,MD,1986,2023,38,1082,459,623,0.424,-13.8,-3.91,0,4,4,3,0,0
68,Cornell,Big Red,Ithaca,NY,1982,2023,41,1085,413,672,0.381,-9.58,-2.98,0,1,0,1,0,0
69,Creighton,Bluejays,Omaha,NE,1982,2023,42,1257,757,500,0.602,12.36,7.97,1,6,3,8,0,0
70,Dartmouth,Big Green,Hanover,NH,1982,2023,41,1110,525,585,0.473,-13.78,-1.98,0,15,1,7,0,0
71,Davidson,Wildcats,Davidson,NC,1984,2023,34,961,438,523,0.456,-3.96,-1.95,0,1,0,0,0,0
72,Dayton,Flyers,Dayton,OH,1985,2023,39,1140,618,522,0.542,11.26,4.05,1,7,3,9,0,0
73,Delaware,Fightin' Blue Hens,Newark,DE,1982,2023,42,1241,751,490,0.605,4.36,0.38,2,9,6,5,0,0
74,Delaware State,Hornets,Dover,DE,1982,2023,42,1182,471,711,0.398,-22.2,-9.12,0,1,1,1,0,0
75,Denver,Pioneers,Granville,OH,1999,2023,25,743,338,405,0.455,-4.56,-1.57,0,2,0,1,0,0
76,DePaul,Blue Demons,Chicago,IL,1982,2023,42,1320,880,440,0.667,9.33,4.45,7,13,8,25,0,0
77,Detroit Mercy,Titans,Detroit,MI,1982,2023,42,1210,516,694,0.426,-8.2,-0.86,0,2,1,1,0,0
78,Drake,Bulldogs,Des Moines,IA,1982,2023,42,1276,801,475,0.628,8.02,4.45,4,9,7,13,0,0
79,Drexel,Dragons,Philadelphia,PA,1982,2023,42,1217,670,547,0.551,2.3,-1.29,0,7,4,2,0,0
80,Duke,Blue Devils,Durham,NC,1983,2023,41,1276,932,344,0.73,20.52,7.76,22,12,8,24,4,0
81,Duquesne,Dukes,Pittsburgh,PA,1984,2023,40,1170,574,596,0.491,2.76,-0.64,0,1,0,1,0,0
82,East Carolina,Pirates,Greenville,NC,1982,2023,42,1217,598,619,0.491,-0.55,2.37,0,4,3,2,0,0
83,East Tennessee State,Buccaneers,Johnson City,TN,1983,2023,41,1162,544,618,0.468,-9.63,-4.2,0,3,3,3,0,0
84,Eastern Illinois,Panthers,Charleston,IL,1983,2023,41,1172,535,637,0.456,-8.56,-5.96,0,3,1,1,0,0
85,Eastern Kentucky,Colonels,Richmond,KY,1983,2023,41,1155,566,589,0.49,-10.29,-4.84,0,5,2,2,0,0
86,Eastern Michigan,Eagles,Ypsilanti,MI,1982,2023,42,1197,560,637,0.468,0.21,0.47,0,4,2,2,0,0
87,Eastern Washington,Eagles,Cheney,WA,1983,2023,41,1167,517,650,0.443,-4.07,-1.47,0,1,1,1,0,0
88,Elon,Phoenix,Elon,NC,2000,2023,24,715,351,364,0.491,-3.14,-3.4,0,1,2,2,0,0
89,Evansville,Purple Aces,Evansville,IN,1984,2023,40,1136,429,707,0.378,-12.14,0.19,0,2,2,2,0,0
90,Fairfield,Stags,Fairfield,CT,1982,2023,42,1244,714,530,0.574,-6.03,-6.6,0,4,4,5,0,0
91,Fairleigh Dickinson,Knights,Teaneck,NJ,1982,2023,42,1196,498,698,0.416,-14.53,-11.06,0,3,3,0,0,0
92,Florida A&M,Rattlers,Tallahassee,FL,1982,2023,41,1195,608,587,0.509,-16.92,-10.01,0,5,3,2,0,0
93,Florida Atlantic,Owls,Boca Raton,FL,1994,2023,30,856,331,525,0.387,-7.75,-1.65,0,0,1,1,0,0
94,Florida,Gators,Gainesville,FL,1982,2023,42,1277,718,559,0.562,10.96,10.16,9,0,0,16,0,0
95,Florida Gulf Coast,Eagles,Fort Myers,FL,2008,2023,16,529,446,83,0.843,11.37,-4.54,3,13,8,8,0,0
96,Florida International,Panthers,Miami,FL,1988,2023,36,1072,588,484,0.549,-5.86,-1.03,4,10,6,6,0,0
97,Florida State,Seminoles,Tallahassee,FL,1983,2023,41,1242,718,524,0.578,15.49,7.27,10,3,1,20,0,0
98,Fordham,Rams,Bronx,NY,1982,2023,42,1230,547,683,0.445,3.27,0.95,0,3,4,3,0,0
99,Fresno State,Bulldogs,Fresno,CA,1982,2023,42,1272,731,541,0.575,1.73,1.26,0,5,6,7,0,0
100,Furman,Paladins,Greenville,SC,1982,2023,42,1211,614,597,0.507,-8.49,-5.79,0,4,2,2,0,0
101,Gardner-Webb,Runnin' Bulldogs,Boiling Springs,NC,2001,2023,23,693,333,360,0.481,-11.58,-10.51,0,2,1,1,0,0
102,George Mason,Patriots,Fairfax,VA,1983,2023,41,1182,540,642,0.457,-4.33,-0.81,0,0,0,0,0,0
103,George Washington,Colonials,Washington,DC,1982,2023,42,1270,777,493,0.612,-2.16,0.17,7,16,7,18,0,0
104,Georgetown,Hoyas,Washington,DC,1982,2023,41,1194,554,640,0.464,7.27,8.72,3,2,0,4,0,0
105,Georgia,Bulldogs,Athens,GA,1982,2023,42,1343,980,363,0.73,14.48,8.56,26,6,4,35,5,0
106,Georgia Southern,Eagles,Statesboro,GA,1983,2023,41,1186,589,597,0.497,-11.41,-6.29,0,6,4,2,0,0
107,Georgia State,Panthers,Atlanta,GA,1982,2023,42,1207,537,670,0.445,-7.99,-3.39,0,3,0,3,0,0
108,Georgia Tech,Yellow Jackets,Atlanta,GA,1982,2023,42,1256,679,577,0.541,12.43,8.33,2,0,0,11,0,0
109,Gonzaga,Bulldogs,Spokane,WA,1987,2023,37,1124,700,424,0.623,13.95,4.11,6,18,10,13,0,0
110,Grambling,Lady Tigers,Grambling,LA,1983,2023,41,1171,638,533,0.545,-15.62,-10.66,0,10,7,6,0,0
111,Grand Canyon,Antelopes,Phoenix,AZ,2014,2023,10,285,163,122,0.572,-5.8,-6.46,0,0,0,0,0,0
112,Green Bay,Phoenix,Green Bay,WA,1988,2023,36,1103,846,257,0.767,6.95,-1.1,7,24,17,18,0,0
113,Hampton,Pirates,Hampton,VA,1996,2023,28,834,478,356,0.573,-6.69,-5.14,0,9,9,9,0,0
114,Hartford,Hawks,West Hartford,CT,1985,2023,39,1126,514,612,0.456,-8.64,-3.25,1,4,5,6,0,0
115,Harvard,Crimson,Boston,MA,1982,2023,41,1115,650,465,0.583,-1.26,-2.01,0,11,0,6,0,0
116,Hawaii,Rainbow Warriors,Honolulu,HI,1982,2023,42,1229,702,527,0.571,-0.34,0.93,4,5,3,7,0,0
117,High Point,Panthers,High Point,NC,2000,2023,24,725,400,325,0.552,-7.2,-9.12,0,3,1,1,0,0
118,Hofstra,Pride,Hempstead,NY,1983,2023,41,1197,516,681,0.431,-4.38,-1.29,0,0,0,0,0,0
119,Holy Cross,Crusaders,Worcester,MA,1982,2023,42,1240,746,494,0.602,-9.68,-3.41,0,13,12,12,0,0
120,Houston Christian,Huskies,Houston,TX,2010,2023,14,398,127,271,0.319,-21.13,-9.36,0,1,0,0,0,0
121,Houston,Cougars,Houston,TX,1982,2023,42,1240,631,609,0.509,1.6,4.79,2,2,1,5,0,0
122,Howard,Bison,Washington,DC,1983,2023,41,1201,598,603,0.498,-11.05,-9.66,0,9,10,5,0,0
123,Idaho State,Bengals,Pocatello,ID,1983,2023,41,1172,566,606,0.483,-4.19,-2.39,0,5,4,4,0,0
124,Idaho,Vandals,Moscow,ID,1983,2023,41,1201,604,597,0.503,-0.49,-1.14,0,3,4,4,0,0
125,Illinois,Fighting Illini,Champaign,IL,1982,2023,42,1250,584,666,0.467,5.7,9.44,2,1,0,8,0,0
126,Illinois State,Redbirds,Normal,IL,1982,2023,42,1257,668,589,0.531,1.11,3.61,0,6,5,6,0,0
127,Illinois-Chicago,Flames,Chicago,IL,1982,2023,42,1209,448,761,0.371,-8.55,-1.62,0,0,0,0,0,0
128,Incarnate Word,Cardinals,San Antonio,TX,2014,2023,10,274,86,188,0.314,-18.71,-8.75,0,0,1,1,0,0
129,Indiana,Hoosiers,Bloomington,IN,1982,2023,42,1268,705,563,0.556,16,11.53,3,2,1,8,0,0
130,Indiana State,Sycamores,Terre Haute,IN,1983,2023,39,1123,539,584,0.48,-3.02,-0.56,0,4,0,0,0,0
131,Iona,Gaels,New Rochelle,NY,1984,2023,40,1160,437,723,0.377,-8.45,-6.19,0,2,1,1,0,0
132,Iowa,Hawkeyes,Iowa City,IA,1982,2023,42,1285,856,429,0.666,13.11,8.96,18,10,4,28,1,0
133,Iowa State,Cyclones,Ames,IA,1983,2023,41,1244,718,526,0.577,13.35,7.71,12,1,2,20,0,0
134,IUPUI,Jaguars,Indianapolis,IN,1999,2023,25,728,360,368,0.495,0.29,-2.26,0,2,1,1,0,0
135,Jackson State,Tigers,Jackson,MS,1984,2023,40,1144,593,551,0.518,-13.05,-11.05,0,8,7,4,0,0
136,Jacksonville,Dolphins,Jacksonville,FL,2000,2023,24,704,315,389,0.447,-8.98,-6.02,0,0,1,1,0,0
137,Jacksonville State,Gamecocks,Jacksonville,AL,1996,2023,28,808,345,463,0.427,-10.67,-7.49,0,1,0,0,0,0
138,James Madison,Dukes,Harrisonburg,VA,1984,2023,40,1240,875,365,0.706,9.91,1.9,3,14,9,12,0,0
139,Kansas City,Roos,Kansas City,MO,1988,2023,36,1021,426,595,0.417,-8.09,-4.9,0,1,0,0,0,0
140,Kansas,Jayhawks,Lawrence,KS,1982,2023,42,1273,697,576,0.548,11.51,12.53,6,4,3,14,0,0
141,Kansas State,Wildcats,Manhattan,KS,1982,2023,42,1299,759,540,0.584,9.46,8.15,10,6,2,17,0,0
