team_id,school,mascot,city,state,first,last,years,games,wins,losses,win_pct,srs,sos,polls_ap,champ_seas,champ_conf,appear_ncaa,appear_four,champ_ncaa
440,UTSA,Roadrunners,San Antonio,TX,1982,2023,42,1243,611,632,0.492,-5.95,-4.18,0,3,4,4,0,0
441,Valparaiso,Beacons,Valparaiso,IN,1918,2023,88,2260,1183,1077,0.523,-4.15,-1.49,0,14,10,9,0,0
442,Vanderbilt,Commodores,Nashville,TN,1901,2023,121,2896,1663,1233,0.574,8.31,5.08,11,3,3,15,0,0
443,Vermont,Catamounts,Burlington,VT,1921,2023,68,1857,1009,848,0.543,-9.48,-7.06,0,14,8,8,0,0
444,Villanova,Wildcats,Villanova,PA,1921,2023,103,2838,1867,971,0.658,10.48,5.85,26,14,8,41,7,3
445,Virginia,Cavaliers,Charlottesville,VA,1906,2023,118,2920,1717,1202,0.588,7.07,5.58,15,11,3,24,3,1
446,Virginia Commonwealth,Rams,Richmond,VA,1974,2023,50,1538,1001,536,0.651,5.56,0.87,3,11,9,18,1,0
447,Virginia Military Institute,Keydets,Lexington,VA,1909,2023,115,2552,942,1610,0.369,-12.7,-4.67,1,2,3,3,0,0
448,Virginia Tech,Hokies,Blacksburg,VA,1909,2023,115,2805,1536,1269,0.548,4.17,1.7,3,2,2,13,0,0
449,Wabash,Little Giants,Crawfordsville,IN,1897,1925,29,407,301,106,0.74,,,0,0,0,,,
450,Wagner,Seahawks,Staten Island,NY,1966,2023,51,1455,714,741,0.491,-9.58,-7.52,0,4,1,1,0,0
451,Wake Forest,Demon Deacons,Winston-Salem,NC,1906,2023,117,2892,1599,1293,0.553,8.01,6.21,17,4,5,23,1,0
452,Washburn,Ichabods,Topeka,KS,1906,1941,35,557,270,283,0.488,,,0,0,0,0,0,0
453,Washington & Jefferson,Presidents,Washington,PA,1913,1944,10,128,73,55,0.57,,,0,0,0,0,0,0
454,Washington & Lee,Generals,Lexington,VA,1907,1959,51,905,472,432,0.522,-15.24,-5.6,0,3,2,0,0,0
455,Washington (MO),Bears,St. Louis,MO,1905,1960,52,921,433,488,0.47,-5.22,-1.75,0,2,0,0,0,0
456,Washington College,Shoremen,Chestertown,MD,1913,1925,13,151,109,42,0.722,,,0,0,0,,,
457,Washington,Huskies,Seattle,WA,1896,2023,122,3104,1850,1254,0.596,7.4,6.16,8,12,3,17,1,0
458,Washington State,Cougars,Pullman,WA,1902,2023,122,3247,1661,1586,0.512,3.28,4.95,3,2,0,6,1,0
459,Wayne State (MI),Warriors,Detroit,MI,1928,1950,5,104,47,57,0.452,,,0,0,0,0,0,0
