Season,Rk,Conference,Schls,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
2021,30,Mid-Eastern Athletic Conference,8,56,66,.459,-19.36,-13.67,0,1,,Howard North Carolina A&T,North Carolina A&T
2021,31,Big South Conference,11,117,135,.464,-20.60,-17.76,0,1,,High Point Longwood,High Point
2022,1,Southeastern Conference,14,281,166,.629,18.72,12.25,0,8,1,South Carolina,Kentucky
2022,2,Pac-12 Conference,12,212,142,.599,18.57,13.83,0,6,1,Stanford,Stanford
2022,3,Big 12 Conference,10,192,129,.598,18.54,14.15,1,6,,Baylor,Texas
2022,4,Atlantic Coast Conference,15,283,195,.592,17.46,12.29,0,8,1,NC State,NC State
2022,5,Big Ten Conference,14,246,188,.567,14.25,10.44,0,6,,Iowa Ohio State,Iowa
2022,6,American Athletic Conference,11,185,143,.564,7.10,4.82,1,2,,Central Florida,Central Florida
2022,7,Big East Conference,11,189,165,.534,7.02,6.89,0,4,1,Connecticut,Connecticut
2022,8,West Coast Conference,10,166,142,.539,5.75,4.82,1,2,,Brigham Young,Gonzaga
2022,9,Atlantic 10 Conference,14,226,190,.543,3.19,1.68,0,2,,Dayton,Massachusetts
2022,10,Missouri Valley Conference,10,160,154,.510,2.24,2.58,0,2,,Southern Illinois,Illinois State
2022,11,Mid-American Conference,12,191,178,.518,1.33,1.47,0,1,,Toledo,Buffalo
2022,12,Mountain West Conference,11,179,168,.516,0.00,0.62,0,1,,Nevada-Las Vegas,Nevada-Las Vegas
2022,13,Conference USA,14,233,197,.542,-0.20,-0.97,0,1,,Charlotte Louisiana Tech,Charlotte
2022,14,Summit League,10,161,147,.523,-0.71,0.89,0,1,,South Dakota South Dakota State,South Dakota
2022,15,Big West Conference,11,145,160,.475,-3.39,-0.96,0,1,,Hawaii,Hawaii
2022,16,Ivy League,8,109,110,.498,-4.00,-2.57,0,1,,Princeton,Princeton
2022,17,Colonial Athletic Association,10,160,146,.523,-4.21,-3.67,0,1,,Drexel,Delaware
2022,18,Big Sky Conference,11,163,177,.479,-4.35,-2.60,0,1,,Idaho State,Montana State
2022,19,Ohio Valley Conference,10,146,161,.476,-5.11,-2.95,0,1,,Belmont,Belmont
2022,20,Horizon League,12,164,175,.484,-5.37,-4.03,0,1,,IUPUI Youngstown State,IUPUI
2022,21,Sun Belt Conference,12,175,156,.529,-6.19,-5.01,0,1,,Troy,UT Arlington
2022,22,Atlantic Sun Conference,12,191,172,.526,-6.29,-3.86,0,1,,Florida Gulf Coast Jacksonville State,Florida Gulf Coast
2022,23,Western Athletic Conference,13,200,195,.506,-6.40,-4.38,0,1,,Stephen F. Austin,Stephen F. Austin
2022,24,Patriot League,10,152,155,.495,-7.08,-6.37,0,1,,Holy Cross,American
2022,25,Metro Atlantic Athletic Conference,11,153,181,.458,-9.04,-7.57,0,1,,Fairfield,Fairfield
2022,26,America East Conference,10,135,160,.458,-11.70,-9.06,0,1,,Maine,Albany (NY)
2022,27,Southern Conference,8,102,139,.423,-11.91,-7.37,0,1,,Mercer,Mercer
2022,28,Northeast Conference,10,119,163,.422,-15.47,-11.25,0,1,,Fairleigh Dickinson,Mount St. Mary's
2022,29,Big South Conference,12,164,202,.448,-15.61,-11.06,0,1,,Campbell Longwood,Longwood
2022,30,Southland Conference,8,98,118,.454,-16.26,-11.53,0,1,,Houston Christian,Incarnate Word
2022,31,Southwest Athletic Conference,12,134,208,.392,-17.00,-9.46,0,1,,Jackson State,Jackson State
2022,32,Mid-Eastern Athletic Conference,8,92,128,.418,-19.55,-12.06,0,1,,Howard,Howard
2023,1,Pac-12 Conference,12,232,137,.629,22.09,15.17,0,0,0,Stanford Utah,Washington State
2023,2,Southeastern Conference,14,266,163,.620,20.34,12.60,0,0,0,South Carolina,South Carolina
2023,3,Atlantic Coast Conference,15,288,180,.615,20.33,13.80,0,0,0,Notre Dame,Virginia Tech
2023,4,Big 12 Conference,10,184,113,.620,19.47,12.85,0,0,0,Oklahoma Texas,
2023,5,Big Ten Conference,14,254,175,.592,19.14,13.64,0,0,0,Indiana,Iowa
2023,6,Big East Conference,11,201,146,.579,14.74,11.28,0,0,0,Connecticut,Connecticut
2023,7,American Athletic Conference,11,186,146,.560,8.14,4.57,0,0,0,South Florida,
2023,8,West Coast Conference,10,164,147,.527,4.37,4.50,0,0,0,Gonzaga,Portland
2023,9,Conference USA,11,174,152,.534,2.21,1.39,0,0,0,Middle Tennessee,
2023,10,Ivy League,8,113,101,.528,1.52,0.29,0,0,0,Princeton,
2023,11,Mountain West Conference,11,176,173,.504,0.96,1.27,0,0,0,Nevada-Las Vegas,
2023,12,Atlantic 10 Conference,15,234,223,.512,0.83,0.14,0,0,0,Massachusetts Rhode Island,Saint Louis
2023,13,Missouri Valley Conference,12,178,176,.503,0.74,1.08,0,0,0,Belmont Illinois State,
2023,14,Mid-American Conference,12,194,165,.540,-1.06,-1.39,0,0,0,Toledo,
2023,15,Big Sky Conference,10,157,153,.506,-1.74,-0.88,0,0,0,Montana State Northern Arizona Sacramento State,Sacramento State
2023,16,Western Athletic Conference,13,195,199,.495,-2.44,-1.23,0,0,0,Southern Utah,
2023,17,Big West Conference,11,157,176,.471,-3.18,-0.67,0,0,0,UC Irvine,
2023,18,Horizon League,11,172,170,.503,-4.65,-3.49,0,0,0,Green Bay,Cleveland State
2023,19,Summit League,10,149,157,.487,-5.07,-3.09,0,0,0,South Dakota State,South Dakota State
2023,20,Sun Belt Conference,14,226,210,.518,-5.43,-4.25,0,0,0,James Madison Southern Mississippi Texas State,James Madison
2023,21,Atlantic Sun Conference,14,212,210,.502,-6.69,-4.19,0,0,0,Florida Gulf Coast,
2023,22,Colonial Athletic Association,13,187,190,.496,-7.11,-5.84,0,0,0,Drexel Northeastern Towson,
2023,23,Southern Conference,8,126,116,.521,-9.37,-6.68,0,0,0,Wofford,Chattanooga
2023,24,Patriot League,10,134,166,.447,-11.25,-8.93,0,0,0,Boston University,
2023,25,Metro Atlantic Athletic Conference,11,153,175,.466,-11.85,-10.02,0,0,0,Iona,
2023,26,Ohio Valley Conference,10,138,159,.465,-12.13,-7.79,0,0,0,Little Rock,Tennessee Tech
2023,27,Southland Conference,10,135,163,.453,-12.49,-7.67,0,0,0,Southeastern Louisiana Texas A&M-Corpus Christi,
2023,28,America East Conference,9,123,142,.464,-12.92,-10.07,0,0,0,Albany (NY) Vermont,
2023,29,Southwest Athletic Conference,12,135,211,.390,-14.57,-7.34,0,0,0,Jackson State,
2023,30,Mid-Eastern Athletic Conference,8,95,128,.426,-15.91,-9.87,0,0,0,Norfolk State,
2023,31,Northeast Conference,9,108,153,.414,-17.44,-13.20,0,0,0,Fairleigh Dickinson,
2023,32,Big South Conference,10,135,174,.437,-17.48,-12.20,0,0,0,Gardner-Webb,Gardner-Webb
2023,33,Independent,2,8,48,.143,-36.19,-10.52,0,0,0,,
